deck_id,deck_source,cmc,name,type,price
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.49
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.69
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$16.99
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$9.49
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$54.99
3RvMTaAac3ax7OvHsFEFMg,https://moxfield.com/decks/-deNE2mNn0ysGlRu5DE28w?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.29
