deck_id,deck_source,cmc,name,type,price
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$3.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$5.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$4.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,"Zhao, the Moon Slayer",Creature,$0.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$9.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$1.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$2.29
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$2.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$8.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$449.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$9.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Basilisk Collar,Artifact,$6.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$139.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$44.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Cursed Totem,Artifact,$1.49
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$12.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$34.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Loxodon Warhammer,Artifact,$1.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$84.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$32.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,0,Mox Diamond,Artifact,$1199.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.79
0LabwRBHP6HUwMuoE02a2Q,https://moxfield.com/decks/gGarOhq_pkObXOoahJqtIw?utm_source=edhrec&utm_medium=deck_summary,3,Tangle Wire,Artifact,$16.99
