deck_id,deck_source,cmc,name,type,price
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$29.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$2.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$1.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$5.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Thundering Raiju,Creature,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$16.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$64.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$3.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$8.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Unexpected Windfall,Instant,$2.29
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$0.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$10.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Sundering Eruption,Sorcery,$2.49
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.79
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,6,"Chimil, the Inner Sun",Artifact,$19.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$11.99
CmZwg_KrmFW8naJbdr4clw,https://moxfield.com/decks/GqAP3QKv2UuX8W-9LRTyiA?utm_source=edhrec&utm_medium=deck_summary,5,Gauntlet of Power,Artifact,$3.49
