deck_id,deck_source,cmc,name,type,price
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$4.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$1.29
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$19.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,4,"Toralf, God of Fury",Creature,$7.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$19.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$13.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$10.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$15.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$19.99
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,3,Acidic Soil,Sorcery,$0.79
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
hrTm_JmACVgOnMd6g0t3tg,https://archidekt.com/decks/2331158?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
