urlhash,savedate,price,salt,creature,instant,sorcery,artifact,enchantment,battle,planeswalker,land,bracket,deck_color_id,tags,budget_label,deckpreview_url
UxNVGCvWqj9qzOAcrsHZ2w,2026-08-12,544,43.236603662371635,16,25,18,3,9,0,0,28,4,8,"['Spellslinger', 'Storm', 'Burn']",0,https://edhrec.com/deckpreview/UxNVGCvWqj9qzOAcrsHZ2w
J9dz1FbE29FIRCRoI1y7Sw,2026-08-11,529,46.60710184276104,20,10,9,19,6,0,0,35,4,8,['Burn'],0,https://edhrec.com/deckpreview/J9dz1FbE29FIRCRoI1y7Sw
wQzeIruXWXcSAEOBDmceBw,2026-08-11,1224,45.54251732956618,16,21,15,7,6,0,1,33,4,8,[],0,https://edhrec.com/deckpreview/wQzeIruXWXcSAEOBDmceBw
qr9aTE9P5SU5_ZH_p5YtJw,2026-08-10,2424,52.48296622559428,17,17,12,12,4,0,1,36,4,8,[],0,https://edhrec.com/deckpreview/qr9aTE9P5SU5_ZH_p5YtJw
f-VJ30dsGJbjuMHcpUDzYA,2026-08-10,623,46.17023058980703,21,18,15,13,7,0,0,25,4,8,[],0,https://edhrec.com/deckpreview/f-VJ30dsGJbjuMHcpUDzYA
AxkMxE8KAAS3BwfWgG9pbA,2026-08-10,1581,54.52504189312458,18,14,7,14,9,0,2,35,4,8,"['Enchantress', 'Ramp', 'Aggro', 'Spellslinger', 'Burn']",0,https://edhrec.com/deckpreview/AxkMxE8KAAS3BwfWgG9pbA
k_x8rdahMf-kaJu4TYowww,2026-08-10,368,37.431448618881404,21,11,5,21,5,0,2,34,4,8,"['Burn', 'Voltron', 'Group Slug']",0,https://edhrec.com/deckpreview/k_x8rdahMf-kaJu4TYowww
GBUaLUYjCtaX4b13Ovc8ZQ,2026-08-10,2761,43.33986761327833,16,24,14,9,3,0,1,32,4,8,"['Burn', 'Spellslinger']",1,https://edhrec.com/deckpreview/GBUaLUYjCtaX4b13Ovc8ZQ
u4hnEMZ0tLD85gEpGiNSAg,2026-08-09,114,33.658928856253624,21,13,12,11,6,0,0,36,4,8,"['Burn', 'Spellslinger']",-1,https://edhrec.com/deckpreview/u4hnEMZ0tLD85gEpGiNSAg
CCEGUjSUfUsEY4IAQPVymA,2026-08-09,796,47.86619843915105,24,13,16,10,11,0,0,25,4,8,[],0,https://edhrec.com/deckpreview/CCEGUjSUfUsEY4IAQPVymA
UBQxhrwA4Sb-OoKOBjg3Bg,2026-08-08,822,53.1908618286252,25,10,11,11,11,0,1,30,4,8,"['Stax', 'Burn']",0,https://edhrec.com/deckpreview/UBQxhrwA4Sb-OoKOBjg3Bg
9-YVBpz3m_cFqaC6WBLiQw,2026-08-07,286,35.9598423615098,21,10,9,13,11,0,1,34,4,8,[],0,https://edhrec.com/deckpreview/9-YVBpz3m_cFqaC6WBLiQw
P9D5LUlknTvEVEVUOdMwyg,2026-08-06,200,40.05664013326168,18,14,14,10,11,0,0,32,4,8,[],-1,https://edhrec.com/deckpreview/P9D5LUlknTvEVEVUOdMwyg
juVDqG-Yl4_7f5AfGCntCw,2026-08-05,535,46.31486277561635,23,14,14,4,9,0,0,35,4,8,[],0,https://edhrec.com/deckpreview/juVDqG-Yl4_7f5AfGCntCw
DkHf3moia93wJodbPzD6MA,2026-08-05,465,44.35521982982755,22,14,13,8,9,0,0,33,4,8,"['Group Slug', 'Burn']",0,https://edhrec.com/deckpreview/DkHf3moia93wJodbPzD6MA
hIPDW8FUhEwRgaX_PM6Ykg,2026-08-03,659,42.85420074686408,18,20,9,8,9,0,1,34,4,8,"['Burn', 'Pingers']",0,https://edhrec.com/deckpreview/hIPDW8FUhEwRgaX_PM6Ykg
rZV_M8siIydWvndOv4tc1A,2026-08-03,777,53.80112615507096,23,18,16,5,8,0,1,28,4,8,[],0,https://edhrec.com/deckpreview/rZV_M8siIydWvndOv4tc1A
lZoOdF2LViv8mEcGxtLt6A,2026-08-03,244,40.539885219186544,21,17,11,8,6,0,0,36,4,8,[],-1,https://edhrec.com/deckpreview/lZoOdF2LViv8mEcGxtLt6A
neQxIlEA139ooJFY1Bu_Kg,2026-08-02,2730,54.817661471664906,15,16,22,10,6,0,0,30,4,8,[],1,https://edhrec.com/deckpreview/neQxIlEA139ooJFY1Bu_Kg
5fPDZezsNS8PvCgXLazcXA,2026-08-02,718,49.93047490250319,20,12,10,10,9,0,0,38,4,8,[],0,https://edhrec.com/deckpreview/5fPDZezsNS8PvCgXLazcXA
H4aDDFlYWCmct_LS7bxrRQ,2026-08-02,346,47.130041405558586,16,11,20,12,5,0,2,33,4,8,"['Burn', 'Spellslinger']",0,https://edhrec.com/deckpreview/H4aDDFlYWCmct_LS7bxrRQ
0AJVqIvKmDKVloF4sdZrpg,2026-07-31,3267,60.406920686364174,17,6,19,19,6,0,0,32,4,8,[],1,https://edhrec.com/deckpreview/0AJVqIvKmDKVloF4sdZrpg
Kjn49OEJkBr8l3ArlJ4Eug,2026-07-31,1497,46.43985613435507,18,26,16,7,2,0,0,30,4,8,"['Burn', 'cEDH']",0,https://edhrec.com/deckpreview/Kjn49OEJkBr8l3ArlJ4Eug
l_Vsx9IvL9bS5QNcvfkU9Q,2026-07-30,528,37.6518534347415,21,28,6,7,1,0,0,36,4,8,['Burn'],0,https://edhrec.com/deckpreview/l_Vsx9IvL9bS5QNcvfkU9Q
13qkArtqlAKCdDVb38BCNQ,2026-07-30,266,39.23563518747687,22,11,14,11,6,0,0,35,4,8,['Burn'],0,https://edhrec.com/deckpreview/13qkArtqlAKCdDVb38BCNQ
kwFFGvG-UWO2RmJkUpIvAA,2026-07-29,349,55.234604224562645,7,13,9,6,26,0,7,31,4,8,"['Control', 'Burn', 'Lands Matter', 'Land Destruction']",0,https://edhrec.com/deckpreview/kwFFGvG-UWO2RmJkUpIvAA
2OTPGtYR-0A2bWyUGjdZlw,2026-07-28,254,43.35101034119725,13,17,12,8,15,1,0,33,4,8,[],-1,https://edhrec.com/deckpreview/2OTPGtYR-0A2bWyUGjdZlw
CsDUIOqQsGq0RpVjtrvLRA,2026-07-28,713,49.70320664346218,20,16,12,10,5,0,0,36,4,8,[],0,https://edhrec.com/deckpreview/CsDUIOqQsGq0RpVjtrvLRA
tnm-N-I991O_jHUhe50gEg,2026-07-28,2371,60.50704298913479,20,15,14,11,7,0,0,32,4,8,[],0,https://edhrec.com/deckpreview/tnm-N-I991O_jHUhe50gEg
_r0_hTA5IpnRYEy6W5Ha4g,2026-07-28,301,32.12937706708908,11,31,23,0,1,0,0,33,4,8,[],0,https://edhrec.com/deckpreview/_r0_hTA5IpnRYEy6W5Ha4g
